user,code,quantity,target_date,store,name,unit,LT,price,buy_price,status,order_id
ohhsalad,100003,2,2022-03-02,시청,계란/특란,1판,1,5700,5700,주문완료,oid4005466
ohhsalad,100004,2,2022-03-02,시청,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid60544713
ohhsalad,100005,1,2022-03-02,시청,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid12580934
ohhsalad,100001,2,2022-03-03,시청,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid74482540
ohhsalad,100002,2,2022-03-03,시청,피양파,1Kg,1,1500,1500,주문완료,oid67647361
ohhsalad,100003,2,2022-03-03,시청,계란/특란,1판,1,5700,5700,주문완료,oid68128903
ohhsalad,100004,1,2022-03-03,시청,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid34683234
ohhsalad,100002,2,2022-03-04,시청,피양파,1Kg,1,1500,1500,주문완료,oid54541304
ohhsalad,100003,2,2022-03-04,시청,계란/특란,1판,1,5700,5700,주문완료,oid14730203
ohhsalad,100002,4,2022-03-07,시청,피양파,1Kg,1,1500,1500,주문완료,oid44803325
ohhsalad,100003,2,2022-03-07,시청,계란/특란,1판,1,5700,5700,주문완료,oid19809212
ohhsalad,100004,2,2022-03-07,시청,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid73615585
ohhsalad,100005,1,2022-03-07,시청,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid63906417
ohhsalad,100001,2,2022-03-08,시청,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid65004972
ohhsalad,100002,2,2022-03-08,시청,피양파,1Kg,1,1500,1500,주문완료,oid48593768
ohhsalad,100003,2,2022-03-08,시청,계란/특란,1판,1,5700,5700,주문완료,oid23901580
ohhsalad,100005,1,2022-03-08,시청,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid1349074
ohhsalad,100001,2,2022-03-09,시청,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid11761137
ohhsalad,100002,2,2022-03-09,시청,피양파,1Kg,1,1500,1500,주문완료,oid36274151
ohhsalad,100003,2,2022-03-09,시청,계란/특란,1판,1,5700,5700,주문완료,oid82243146
ohhsalad,100004,1,2022-03-09,시청,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid1072789
ohhsalad,100002,4,2022-03-10,시청,피양파,1Kg,1,1500,1500,주문완료,oid70133534
ohhsalad,100003,2,2022-03-10,시청,계란/특란,1판,1,5700,5700,주문완료,oid42491410
ohhsalad,100004,2,2022-03-10,시청,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid38272706
ohhsalad,100002,2,2022-03-11,시청,피양파,1Kg,1,1500,1500,주문완료,oid9632861
ohhsalad,100003,2,2022-03-11,시청,계란/특란,1판,1,5700,5700,주문완료,oid35105009
ohhsalad,100005,1,2022-03-11,시청,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid92519251
ohhsalad,100002,4,2022-03-14,시청,피양파,1Kg,1,1500,1500,주문완료,oid59194139
ohhsalad,100003,2,2022-03-14,시청,계란/특란,1판,1,5700,5700,주문완료,oid8955662
